,time,longitude,latitude,u10,t2m,sp,tp,swvl1
106,2021-01-05 10:00:00,45.0,46.0,-7.499349,276.0621,102274.59,1.9546598e-05,0.3208185
107,2021-01-05 11:00:00,45.0,46.0,-7.597567,276.5508,102217.625,1.9546598e-05,0.32083005
108,2021-01-05 12:00:00,45.0,46.0,-6.866904,276.0286,102213.555,2.1323562e-05,0.32054162
109,2021-01-05 13:00:00,45.0,46.0,-6.8673625,274.9148,102217.04,2.1323562e-05,0.32021862
110,2021-01-05 14:00:00,45.0,46.0,-6.3037605,273.49597,102269.36,2.1323562e-05,0.3199879
111,2021-01-05 15:00:00,45.0,46.0,-5.923283,272.51392,102280.984,2.4877489e-05,0.31978023
112,2021-01-05 16:00:00,45.0,46.0,-5.853062,272.11646,102279.24,2.8431416e-05,0.31956106
113,2021-01-05 17:00:00,45.0,46.0,-5.820476,271.58728,102263.55,3.1985343e-05,0.31937647
114,2021-01-05 18:00:00,45.0,46.0,-5.8727975,271.67395,102249.016,3.7316233e-05,0.31918034
115,2021-01-05 19:00:00,45.0,46.0,-6.2569466,272.4134,102215.875,4.2647123e-05,0.3189496
116,2021-01-05 20:00:00,45.0,46.0,-6.0719857,272.1615,102199.6,5.153194e-05,0.31877658
117,2021-01-05 21:00:00,45.0,46.0,-5.9310856,272.0818,102187.98,5.686283e-05,0.31859198
118,2021-01-05 22:00:00,45.0,46.0,-5.8741746,272.47577,102125.77,7.4632466e-05,0.31838435
119,2021-01-05 23:00:00,45.0,46.0,-5.719964,272.59363,102103.68,8.174032e-05,0.3182113
120,2021-01-06 00:00:00,45.0,46.0,-5.666266,273.08698,102056.59,9.062514e-05,0.31803825
121,2021-01-06 01:00:00,45.0,46.0,-5.473503,273.31345,102028.11,5.3308904e-06,0.31787676
122,2021-01-06 02:00:00,45.0,46.0,-5.2380567,273.8484,102004.27,1.5992671e-05,0.31771523
123,2021-01-06 03:00:00,45.0,46.0,-4.9342256,274.26892,102001.37,3.3762306e-05,0.31769216
124,2021-01-06 04:00:00,45.0,46.0,-4.7924075,274.58667,102012.414,5.686283e-05,0.31789982
125,2021-01-06 05:00:00,45.0,46.0,-4.71622,274.83737,102043.23,9.062514e-05,0.31826898
126,2021-01-06 06:00:00,45.0,46.0,-4.591842,275.45206,102087.41,0.00013327226,0.31893808
127,2021-01-06 07:00:00,45.0,46.0,-4.459203,276.07712,102022.875,0.00017414242,0.31979176
128,2021-01-06 08:00:00,45.0,46.0,-4.1709766,276.76688,102057.18,0.000207901,0.32069162
129,2021-01-06 09:00:00,45.0,46.0,-4.1517,277.41968,102010.67,0.00022922456,0.32149917
130,2021-01-06 10:00:00,45.0,46.0,-3.3246555,277.78592,101959.516,0.00025587901,0.32228363
131,2021-01-06 11:00:00,45.0,46.0,-2.889103,277.88992,102028.69,0.00029852614,0.32298735
132,2021-01-06 12:00:00,45.0,46.0,-2.2066307,277.7016,102077.52,0.00033761933,0.32350647
133,2021-01-06 13:00:00,45.0,46.0,-2.4333568,277.18167,102098.45,0.000353612,0.32359877
134,2021-01-06 14:00:00,45.0,46.0,-2.6453958,276.53696,102121.7,0.00036249682,0.32352954
135,2021-01-06 15:00:00,45.0,46.0,-2.448502,276.0286,102116.47,0.00036249682,0.32336804
136,2021-01-06 16:00:00,45.0,46.0,-1.7490484,275.3943,102126.94,0.00036249682,0.32312578
137,2021-01-06 17:00:00,45.0,46.0,-0.8536185,274.72647,102142.63,0.00036249682,0.32284892
138,2021-01-06 18:00:00,45.0,46.0,0.08495319,274.5058,102150.77,0.00036249682,0.32258356
139,2021-01-06 19:00:00,45.0,46.0,1.2355642,273.9512,102092.055,0.00036249682,0.3223067
140,2021-01-06 20:00:00,45.0,46.0,1.0643723,274.24005,102115.89,0.00036249682,0.32206443
141,2021-01-06 21:00:00,45.0,46.0,1.2585121,274.4018,102127.516,0.00036249682,0.32187986
142,2021-01-06 22:00:00,45.0,46.0,1.4003305,274.75998,102110.08,0.00036249682,0.3217414
143,2021-01-06 23:00:00,45.0,46.0,1.5935525,274.74033,102119.96,0.00036249682,0.32152224
144,2021-01-07 00:00:00,45.0,46.0,1.8110992,275.184,102122.87,0.00036249682,0.32139534
145,2021-01-07 01:00:00,45.0,46.0,2.1723,275.64154,102126.94,0.0,0.32130304
146,2021-01-07 02:00:00,45.0,46.0,2.430694,276.1453,102137.4,1.7769635e-06,0.3212915
147,2021-01-07 03:00:00,45.0,46.0,2.4752133,276.46185,102160.66,1.7769635e-05,0.32140687
148,2021-01-07 04:00:00,45.0,46.0,2.387552,276.1314,102181.58,2.6654452e-05,0.32131457
149,2021-01-07 05:00:00,45.0,46.0,2.1034563,275.6508,102171.695,3.3762306e-05,0.32118767
150,2021-01-07 06:00:00,45.0,46.0,1.1277088,276.24927,102210.65,3.7316233e-05,0.3211646
151,2021-01-07 07:00:00,45.0,46.0,0.64809626,277.66577,102219.945,4.4424087e-05,0.32131457
152,2021-01-07 08:00:00,45.0,46.0,0.8013887,278.67673,102197.27,4.7978014e-05,0.32153377
153,2021-01-07 09:00:00,45.0,46.0,0.3603288,278.701,102145.54,4.7978014e-05,0.3215453
154,2021-01-07 10:00:00,45.0,46.0,-0.79028213,278.8281,102069.97,4.7978014e-05,0.3216145
155,2021-01-07 11:00:00,45.0,46.0,-1.9702667,278.68713,102015.32,4.7978014e-05,0.32149917
156,2021-01-07 12:00:00,45.0,46.0,-2.102447,278.18915,102001.95,5.153194e-05,0.32140687
157,2021-01-07 13:00:00,45.0,46.0,-2.5040364,277.4763,101998.46,5.686283e-05,0.32131457
158,2021-01-07 14:00:00,45.0,46.0,-2.9758463,276.7195,101956.61,6.0416758e-05,0.32122228
159,2021-01-07 15:00:00,45.0,46.0,-3.0405598,276.4526,101918.24,7.28555e-05,0.32124537
160,2021-01-07 16:00:00,45.0,46.0,-2.8317332,276.32437,101884.52,0.00010128692,0.32140687
161,2021-01-07 17:00:00,45.0,46.0,-2.6531982,276.22617,101840.34,0.000104840845,0.32134917
162,2021-01-07 18:00:00,45.0,46.0,-2.5306559,276.0748,101820.58,0.00012438744,0.32142994
163,2021-01-07 19:00:00,45.0,46.0,-2.8482556,275.36423,101775.81,0.0001261644,0.32125688
164,2021-01-07 20:00:00,45.0,46.0,-2.9602418,274.485,101738.61,0.00014215708,0.3211646
165,2021-01-07 21:00:00,45.0,46.0,-3.1038961,273.86224,101695.01,0.00014393404,0.32093388
166,2021-01-07 22:00:00,45.0,46.0,-3.1539226,273.41742,101599.09,0.00014393404,0.32068008
167,2021-01-07 23:00:00,45.0,46.0,-2.4622712,273.0627,101575.26,0.00014393404,0.32041472
168,2021-01-08 00:00:00,45.0,46.0,-1.8289071,272.90442,101564.21,0.000145711,0.3201725
169,2021-01-08 01:00:00,45.0,46.0,-1.6678125,272.84665,101561.305,5.3308904e-06,0.3199302
170,2021-01-08 02:00:00,45.0,46.0,-1.8385452,272.8894,101523.516,7.107854e-06,0.31968796
171,2021-01-08 03:00:00,45.0,46.0,-1.1620392,273.37698,101528.17,8.884817e-06,0.31946874
172,2021-01-08 04:00:00,45.0,46.0,0.019780993,273.79984,101564.21,1.4215708e-05,0.31930724
173,2021-01-08 05:00:00,45.0,46.0,0.10927808,274.12567,101603.74,2.3100525e-05,0.31920344
174,2021-01-08 06:00:00,45.0,46.0,-0.7044568,274.79694,101595.6,2.8431416e-05,0.31911114
175,2021-01-08 07:00:00,45.0,46.0,-1.4181386,275.98468,101557.234,3.0208379e-05,0.31908804
176,2021-01-08 08:00:00,45.0,46.0,-1.176267,276.74493,101527.01,3.1985343e-05,0.31912267
177,2021-01-08 09:00:00,45.0,46.0,-0.15095186,277.41852,101483.41,3.3762306e-05,0.31915727
178,2021-01-08 10:00:00,45.0,46.0,0.335086,278.06207,101439.23,3.3762306e-05,0.31911114
179,2021-01-08 11:00:00,45.0,46.0,-0.1454444,278.32318,101410.74,3.3762306e-05,0.31899577
180,2021-01-08 12:00:00,45.0,46.0,-0.5520823,278.1707,101389.234,3.3762306e-05,0.3188573
181,2021-01-08 13:00:00,45.0,46.0,-0.50848126,277.51212,101416.555,3.3762306e-05,0.31874198
182,2021-01-08 14:00:00,45.0,46.0,-0.23723626,276.6837,101442.13,3.3762306e-05,0.31859198
183,2021-01-08 15:00:00,45.0,46.0,-0.048145056,276.42834,101432.83,3.3762306e-05,0.31843048
184,2021-01-08 16:00:00,45.0,46.0,0.047777534,276.01935,101421.79,3.3762306e-05,0.31826898
185,2021-01-08 17:00:00,45.0,46.0,-0.0008722544,275.72357,101374.7,3.3762306e-05,0.3180844
186,2021-01-08 18:00:00,45.0,46.0,-0.11102247,275.69467,101352.61,3.3762306e-05,0.31791136
